id,slug,old_words,new_words,first_120_chars
4589,garage-door-automation,1433,770,"Garage door automation means your door opens and closes with a motor instead of your arms, and these days it usually mea"
4591,garage-door-repairs-to-make-before-spring,1303,716,"The repairs worth making before spring are the ones winter caused: a stiff or torn bottom seal, rusty rollers and hinges"
4596,how-to-prepare-your-garage-door-for-the-spring,1404,709,"Getting your garage door ready for spring takes about an hour: clean off the winter grime, lubricate the moving parts, t"
4600,garage-door-cleaning-tips-for-spring,1659,767,"The best way to clean a garage door for spring is simple: mild soap, water, a soft brush or cloth, and a thorough rinse,"
4607,how-to-choose-the-right-garage-door-for-your-home,971,738,"Choosing the right garage door comes down to five decisions: material, insulation, style, springs and hardware, and budg"
4611,the-pros-cons-of-automatic-garage-door-openers,1066,754,"Automatic garage door openers are worth it for most homeowners: they add daily convenience, better security, and real sa"
4615,tips-to-maintain-extend-the-life-of-your-garage-door,1117,747,"The way to make a garage door last is boring and it works: lubricate the moving parts a few times a year, keep the hardw"
4618,what-to-consider-when-buying-a-garage-door-opener,1319,707,"When you buy a garage door opener, four decisions matter most: the drive type, which sets the noise level; the power rat"
4622,common-problems-with-garage-doors-and-how-to-fix-them,1039,752,"Most garage door problems come down to a short list: the door is noisy, it will not open or close, it reverses for no re"
4634,what-is-the-best-way-to-seal-the-bottom-of-a-garage-door,1269,767,The best way to seal the bottom of a garage door is a two-part approach: a fresh rubber bottom seal in an aluminum retai
4638,how-do-you-open-a-garage-door-with-a-broken-spring,2810,767,"If your garage door spring is broken, the honest answer is that you should not try to open the door yourself. A broken s"
4642,is-it-safe-to-repair-a-garage-door-yourself,3284,702,"Some garage door repairs are safe to do yourself, and some are genuinely dangerous. The dividing line is tension. Anythi"
4650,why-does-my-garage-door-motor-make-sound-but-not-move,3376,722,"When your garage door motor makes sound but the door does not move, the most common causes are a disengaged trolley, a s"
4651,why-is-my-garage-door-not-opening-but-the-motor-is-running,3233,744,"If your garage door will not open but the motor is running, the door and the motor have stopped working as a team. Eithe"
4652,can-you-manually-lift-a-garage-door-if-the-spring-is-broken,3080,729,"Can you manually lift a garage door with a broken spring? Physically, sometimes, with several strong people. Should you?"
4672,how-do-i-fix-my-garage-door-that-i-ran-into,2757,743,"If you backed into your garage door, the first steps are simple: stop using the door, disconnect the opener, and look ov"
4680,do-insulated-garage-doors-really-make-a-difference,4528,726,"Yes, insulated garage doors really do make a difference, and the difference is biggest when your garage is attached to t"
4683,what-type-of-garage-door-has-the-best-insulation,2371,738,The best-insulated garage doors are steel or composite doors with polyurethane foam injected between two bonded skins. T
4689,why-you-need-a-garage-door-maintenance-plan,2368,727,"You need a garage door maintenance plan for one simple reason: garage doors fail on schedules, not at random. Springs we"
4696,a-childproof-garage-door-top-safety-measures,1253,719,"Childproofing a garage door comes down to four things: keep controls out of small hands, test the door's safety reverse "
4697,balance-your-garage-door-for-optimal-performance,1584,728,A balanced garage door is one where the springs offset the door's weight so evenly that the door will hold still partway
4698,belt-drive-or-chain-drive-picking-the-best-garage-door-opener-for-you,1632,739,Picking between a belt drive and a chain drive opener comes down to one main question: how much does noise matter in you
4699,chain-drive-vs-belt-drive-which-is-best-for-you,1705,712,"Chain drive versus belt drive is really a choice between economy and quiet. The chain drive is the workhorse: cheaper, t"
4700,choosing-the-right-replacement-opener-for-your-garage,1545,704,"Choosing the right replacement opener for your garage means matching four things: enough power for your door's weight, t"
4701,choosing-the-safest-garage-door-opener,1179,709,"The safest garage door opener is one with working photo eye sensors, force-based auto reverse, rolling code remotes, and"
4702,detecting-unseen-garage-door-dangers,1236,706,The most dangerous garage door problems are the ones you cannot see from the driveway: springs near the end of their cyc
4703,discover-the-convenience-of-smart-garage-door-openers,1326,730,"A smart garage door opener lets you open, close, and monitor your door from your phone, from anywhere. That means no mor"
4704,dont-forget-about-your-garage-door-hinges,1461,730,"Garage door hinges are easy to forget because they just sit there, but they are what lets your door bend around the curv"
4705,dont-get-stuck-identifying-and-solving-garage-door-opening-issues,1404,734,"When a garage door will not open, the cause is almost always one of a short list: no power to the opener, a disengaged t"
4707,fireproofing-your-garage-door-top-materials-and-techniques,1370,722,Fireproofing a garage door starts with material choice: steel doors resist fire far better than wood or plastic-backed d
